fold,baseline_mean_rotLSD,equivariant_mean_rotLSD
0,1.7365999999999997,0.6386000000000002
1,1.7898999999999998,0.618
2,1.6647999999999998,0.6144
3,1.7292,0.5771999999999999
4,1.7970999999999997,0.7106999999999999
5,1.6825,0.6141000000000001
6,1.7460999999999998,0.5822999999999999
7,1.6804999999999999,0.7219000000000001
8,1.7722000000000002,0.6753
9,1.7708,1.1321
10,1.8115,0.7996
11,1.7035999999999998,0.7081000000000002
12,1.6885999999999999,0.66
13,1.7231999999999996,0.7454999999999999
14,1.6810999999999998,0.6469
15,1.6391,0.6969000000000001
16,1.7917999999999998,0.9095
17,1.6436000000000004,0.7936000000000003
18,1.6987999999999999,0.5767
19,1.6364,0.5408000000000001
20,1.6418000000000004,0.5776
21,1.7286,0.7729000000000003
22,1.7212,0.6223000000000001
23,1.6717,0.6552000000000001
24,1.8753,0.8320000000000002
25,1.6997000000000002,0.5609
26,1.7849000000000002,0.6365
27,1.7133999999999998,0.6376000000000002
28,1.7033,0.6313
29,1.8089,0.7504000000000001
30,1.8136,0.6632999999999997
31,1.7087,0.857
32,1.6917999999999997,0.6448
33,1.7538000000000002,0.8046
34,1.7737000000000003,0.9650000000000002
35,1.6975,0.5959
36,1.7911999999999997,0.7850999999999998
37,1.7181000000000004,0.6455999999999998
38,1.7255,0.7162999999999999
39,1.7247,0.9343000000000002
40,1.7767999999999997,1.3684999999999996
41,1.6829000000000003,0.6262000000000001
42,1.8025,0.6704999999999999
43,1.712,0.6094999999999999
44,1.67,0.5677
45,1.7177000000000004,0.6564999999999999
46,1.7288,0.7413000000000003
47,1.7579,0.6943
48,1.7180000000000002,0.6225
49,1.6407999999999998,0.5422
50,1.6703000000000001,0.6629999999999998
51,1.6513999999999998,0.6722999999999999
52,1.8265999999999998,0.6559
53,1.7472000000000003,0.7455000000000002
54,1.6152999999999997,0.5904999999999999
55,1.7644,0.6625
56,1.6941,2.0136999999999996
57,1.7671000000000003,0.6753999999999999
58,1.8301000000000003,0.7451000000000001
59,1.6228000000000002,0.5841000000000001
60,1.7459,0.629
61,1.7818000000000003,1.0810000000000002
62,1.7196,0.6911999999999999
63,1.7111,0.7533999999999998
64,1.6885999999999999,0.6386
65,1.7152999999999998,0.5603
66,1.6012999999999997,0.7765
67,1.7254999999999996,0.5944000000000002
68,1.7874,0.6731999999999999
69,1.8944999999999999,0.9711000000000002
70,1.7001,0.9303000000000001
71,1.6715,0.6193
72,1.7035000000000002,0.6542999999999999
73,1.765,0.6503
74,1.7537,0.6859999999999998
75,1.7109999999999999,0.6987000000000001
76,1.7456,0.5687
77,1.7915000000000005,0.6893
78,1.7952999999999997,0.7181000000000003
79,1.7306999999999997,0.9624999999999999
80,1.7803,0.6867
81,1.7962999999999996,0.7482000000000001
82,1.6601,0.6365
83,1.6674999999999998,0.6097
84,1.6395999999999997,0.9894000000000002
85,1.8126999999999998,0.7391
86,1.6822999999999997,0.5745
87,1.6556000000000004,0.8634
88,1.7367,0.6148
89,1.7414,0.6505000000000001
90,1.7308000000000001,0.7594
91,1.7938999999999998,1.0819999999999999
92,1.6536,0.6333999999999999
